entry.DLL,Address,Name
b'SetStdHandle'
b'ExitThread'
b'GetCommandLineW'
b'ExitProcess'
b'GetModuleHandleExW'
b'GetConsoleCP'
b'GetDriveTypeW'
b'GetCommandLineA'
b'RaiseException'
b'GetStdHandle'
b'SetConsoleMode'
b'GetConsoleMode'
b'CreateMutexW'
b'Sleep'
b'GetLastError'
b'CreateProcessW'
b'MultiByteToWideChar'
b'SetThreadAffinityMask'
b'SetPriorityClass'
b'GetCurrentProcess'
b'SetThreadPriority'
b'GetCurrentThread'
b'GetProcAddress'
b'GetModuleHandleW'
b'CloseHandle'
b'FreeConsole'
b'GetConsoleWindow'
b'VirtualProtect'
b'VirtualFree'
b'VirtualAlloc'
b'GetLargePageMinimum'
b'LocalAlloc'
b'LocalFree'
b'FlushInstructionCache'
b'GetFileType'
b'GetConsoleScreenBufferInfo'
b'SetConsoleTextAttribute'
b'RegisterWaitForSingleObject'
b'UnregisterWait'
b'GetConsoleCursorInfo'
b'CreateFileW'
b'DuplicateHandle'
b'PostQueuedCompletionStatus'
b'QueueUserWorkItem'
b'SetConsoleCursorInfo'
b'FillConsoleOutputCharacterW'
b'ReadConsoleInputW'
b'CreateFileA'
b'ReadConsoleW'
b'WriteConsoleInputW'
b'FillConsoleOutputAttribute'
b'WriteConsoleW'
b'GetNumberOfConsoleInputEvents'
b'WideCharToMultiByte'
b'SetConsoleCursorPosition'
b'EnterCriticalSection'
b'GetModuleFileNameW'
b'SetEnvironmentVariableW'
b'LeaveCriticalSection'
b'InitializeCriticalSection'
b'GetVersionExW'
b'FreeEnvironmentStringsW'
b'FileTimeToSystemTime'
b'QueryPerformanceFrequency'
b'GetSystemInfo'
b'GetCurrentDirectoryW'
b'GetCurrentProcessId'
b'GetSystemTimeAsFileTime'
b'QueryPerformanceCounter'
b'GetEnvironmentStringsW'
b'SystemTimeToTzSpecificLocalTime'
b'SetConsoleCtrlHandler'
b'CancelIo'
b'SetHandleInformation'
b'CreateEventA'
b'CreateIoCompletionPort'
b'SetFileCompletionNotificationModes'
b'SetErrorMode'
b'GetQueuedCompletionStatus'
b'GetQueuedCompletionStatusEx'
b'SleepConditionVariableCS'
b'TryEnterCriticalSection'
b'TlsSetValue'
b'ReleaseSemaphore'
b'WakeConditionVariable'
b'InitializeConditionVariable'
b'WaitForSingleObject'
b'ResumeThread'
b'SetEvent'
b'TlsAlloc'
b'GetNativeSystemInfo'
b'DeleteCriticalSection'
b'CreateSemaphoreW'
b'TlsGetValue'
b'TlsFree'
b'CreateSemaphoreA'
b'GetLongPathNameW'
b'ReadDirectoryChangesW'
b'ReadFile'
b'SetNamedPipeHandleState'
b'SetLastError'
b'WriteFile'
b'CreateNamedPipeW'
b'RtlUnwind'
b'CancelSynchronousIo'
b'GetNamedPipeHandleStateA'
b'CancelIoEx'
b'SwitchToThread'
b'ConnectNamedPipe'
b'FlushFileBuffers'
b'TerminateProcess'
b'UnregisterWaitEx'
b'LCMapStringW'
b'GetExitCodeProcess'
b'GetModuleHandleA'
b'LoadLibraryA'
b'FormatMessageA'
b'DebugBreak'
b'GetFileSizeEx'
b'FindNextFileW'
b'FindClose'
b'GetFileInformationByHandle'
b'SetFilePointerEx'
b'GetStartupInfoW'
b'GetProcessAffinityMask'
b'SetProcessAffinityMask'
b'RtlPcToFileHeader'
b'RtlUnwindEx'
b'LoadLibraryW'
b'QueryDepthSList'
b'InterlockedFlushSList'
b'InterlockedPushEntrySList'
b'InterlockedPopEntrySList'
b'HeapReAlloc'
b'HeapFree'
b'HeapAlloc'
b'IsValidLocale'
b'GetUserDefaultLCID'
b'EnumSystemLocalesW'
b'GetTimeZoneInformation'
b'HeapSize'
b'GetFullPathNameW'
b'SetEndOfFile'
b'FindFirstFileExW'
b'IsValidCodePage'
b'GetACP'
b'GetOEMCP'
b'GetProcessHeap'
b'PeekNamedPipe'
b'GetCurrentThreadId'
b'WaitForSingleObjectEx'
b'GetExitCodeThread'
b'InitializeCriticalSectionAndSpinCount'
b'CreateEventW'
b'GetTickCount'
b'EncodePointer'
b'DecodePointer'
b'CompareStringW'
b'GetLocaleInfoW'
b'GetStringTypeW'
b'GetCPInfo'
b'ResetEvent'
b'RtlCaptureContext'
b'RtlLookupFunctionEntry'
b'RtlVirtualUnwind'
b'UnhandledExceptionFilter'
b'SetUnhandledExceptionFilter'
b'IsProcessorFeaturePresent'
b'IsDebuggerPresent'
b'InitializeSListHead'
b'CreateTimerQueue'
b'SignalObjectAndWait'
b'CreateThread'
b'GetThreadPriority'
b'GetLogicalProcessorInformation'
b'CreateTimerQueueTimer'
b'ChangeTimerQueueTimer'
b'DeleteTimerQueueTimer'
b'GetNumaHighestNodeNumber'
b'GetThreadTimes'
b'FreeLibrary'
b'FreeLibraryAndExitThread'
b'LoadLibraryExW'
b'LookupPrivilegeValueW'
b'AdjustTokenPrivileges'
b'OpenProcessToken'
b'LsaOpenPolicy'
b'LsaAddAccountRights'
b'LsaClose'
b'GetTokenInformation'
b'GetMessageA'
b'TranslateMessage'
b'ShowWindow'
b'GetSystemMetrics'
b'DispatchMessageA'
b'MapVirtualKeyW'
b'WSAGetLastError'
b'WSASetLastError'
b'WSAStartup'
b'select'
b'WSARecvFrom'
b'bind'
b'WSAIoctl'
b'closesocket'
b'WSASend'
b'shutdown'
b'WSASocketW'
b'socket'
b'WSARecv'
b'getsockopt'
b'ioctlsocket'
b'setsockopt'
b'FreeAddrInfoW'
b'GetAddrInfoW'
b'htonl'
b'htons'
